Time,Anomaly (deg C),Uncorrelated uncertainty (1 sigma),Correlated uncertainty (1 sigma),Ensemble standard deviation (1 sigma),Coverage uncertainty (1 sigma),Total uncertainty (1 sigma)
1916,-0.40415174,0.004524363,0.039024115,0.041777536,0.045079842,0.072944544
1917,-0.51458013,0.0047048954,0.046039972,0.045438394,0.04390489,0.0783205
1918,-0.3894304,0.005044827,0.04757009,0.048916467,0.044353757,0.08153797
1919,-0.3260247,0.0048707416,0.045273382,0.04740258,0.045783404,0.08010323
1920,-0.2639659,0.004664345,0.04364873,0.04587037,0.044088762,0.07729734
1921,-0.21723351,0.0041284463,0.04038568,0.0442572,0.044514157,0.07475465
1922,-0.31997862,0.00390473,0.03956341,0.042409323,0.046059996,0.074165925
1923,-0.29078034,0.0037169394,0.035150744,0.042925853,0.04535768,0.07175889
1924,-0.31784973,0.003776359,0.03568786,0.044075407,0.044369724,0.07210547
1925,-0.23614801,0.0038215849,0.03426578,0.044406444,0.044539675,0.071724914
1926,-0.12500921,0.0037182546,0.035055306,0.04497145,0.04400294,0.07212067
1927,-0.23104434,0.0035090672,0.03253038,0.04383375,0.046341036,0.07168981
1928,-0.23358482,0.0035988044,0.03485989,0.044605535,0.044019252,0.07180189
1929,-0.37734118,0.0036561892,0.033692144,0.045090962,0.043449104,0.07120076
1930,-0.16514409,0.0036625974,0.033641398,0.036943488,0.042974997,0.06600629
1931,-0.1043119,0.0037231874,0.032831714,0.036232635,0.04110628,0.06398682
1932,-0.1625903,0.0036939878,0.032894347,0.035512753,0.040618323,0.0632984
1933,-0.30282855,0.003617903,0.033311285,0.034533523,0.03898941,0.061931167
1934,-0.15389358,0.0035612592,0.0318914,0.034699675,0.037550047,0.06036404
1935,-0.20953554,0.0035391632,0.029106298,0.034191333,0.03809767,0.058993068
1936,-0.17540431,0.0033143344,0.02630069,0.032750435,0.03736052,0.056312613
1937,-0.05671385,0.0033160094,0.0258017,0.033366095,0.037706807,0.05667295
1938,-0.037019216,0.0034488332,0.026185477,0.032232244,0.036888253,0.055652805
1939,-0.07956388,0.0039738114,0.03361419,0.033455748,0.037742745,0.06074131
1940,-0.014445781,0.004468104,0.033416472,0.038107876,0.040237993,0.06486857
1941,-0.03030276,0.0039395834,0.033767354,0.08947937,0.03984445,0.10368169
1942,-0.018112214,0.004272427,0.044933066,0.082868144,0.04600644,0.10498074
1943,0.009052583,0.0043908926,0.045817614,0.07916172,0.047811743,0.10330089
1944,0.15621957,0.004106683,0.04233301,0.08028455,0.04608296,0.101873435
1945,0.028470472,0.004487021,0.04692877,0.07165306,0.052103065,0.100356035
1946,-0.12748004,0.0041995537,0.043109372,0.051303122,0.04498776,0.08082056
1947,-0.11717052,0.0038837895,0.040333893,0.05198279,0.042683985,0.078524135
1948,-0.10312925,0.0037145407,0.038587593,0.049229935,0.045650702,0.0775266
1949,-0.12903948,0.0034468924,0.03127867,0.043612912,0.035846837,0.06463218
1950,-0.2178871,0.003392075,0.030147815,0.03559102,0.034704924,0.05823701
1951,-0.07995882,0.003245133,0.02884041,0.029560868,0.0350173,0.05424349
1952,0.007607343,0.0031016192,0.028038032,0.030520698,0.03534823,0.054559708
1953,0.08040515,0.003138699,0.028250553,0.032109622,0.03520577,0.055483505
1954,-0.14312533,0.0031128826,0.027397478,0.030379854,0.036979213,0.05523323
1955,-0.2073626,0.0029793666,0.026336223,0.029438438,0.036161926,0.05363562
1956,-0.29655898,0.0028890823,0.026539428,0.027942214,0.032570105,0.050539758
1957,-0.04190358,0.0029008847,0.02424072,0.02617038,0.031176291,0.047464486
1958,0.0027783562,0.0028327256,0.022805853,0.026027786,0.031654827,0.046985157
1959,-0.03047217,0.0027645575,0.020927787,0.026122294,0.031521954,0.046061076
1960,-0.09750845,0.0027059875,0.020901373,0.023083918,0.030240411,0.043491833
1961,-0.011535578,0.002559587,0.01911919,0.019256288,0.03039626,0.040826857
1962,-0.043940242,0.0025157984,0.018129528,0.016238432,0.031713292,0.04005532
1963,-0.013327617,0.0025644617,0.01716246,0.017568177,0.031522803,0.040043157
1964,-0.28280923,0.0024845279,0.015741365,0.017305888,0.03015038,0.038242683
1965,-0.19991039,0.0025182962,0.015692981,0.01791839,0.031773735,0.03979008
1966,-0.12686941,0.0024695985,0.016304057,0.016913066,0.030514125,0.03858866
1967,-0.1339043,0.0024142803,0.014898791,0.013746506,0.03156951,0.037595253
1968,-0.17930894,0.0023764158,0.017146377,0.011542469,0.030863589,0.037221435
1969,-0.03378324,0.0023385857,0.01690429,0.010548771,0.029749742,0.035882417
1970,-0.0815351,0.002336601,0.014039709,0.0083361715,0.029365962,0.03368122
1971,-0.22822274,0.0023442463,0.013262095,0.007751101,0.02945905,0.033306062
1972,-0.08516865,0.002411997,0.013260535,0.007540264,0.028077183,0.032044396
1973,0.06060192,0.0023503439,0.013990874,0.0077001746,0.028236534,0.03252481
1974,-0.20216332,0.0023290135,0.015187355,0.008151628,0.02981796,0.034520134
1975,-0.12212384,0.0023586368,0.014582705,0.008575826,0.03039816,0.034868486
1976,-0.20765744,0.002399546,0.015045268,0.0086527215,0.030458942,0.03513879
1977,0.09898207,0.0023995924,0.015790546,0.008549714,0.029056014,0.034241043
1978,0.0011420401,0.0023430397,0.015533334,0.008450796,0.028221637,0.03338639
1979,0.11368604,0.0021174985,0.012718138,0.008068986,0.02493172,0.029205034
1980,0.15230551,0.0022782662,0.015210191,0.0077821445,0.02679757,0.03186239
1981,0.20272629,0.0023495574,0.01625248,0.007452075,0.027222328,0.032653514
1982,0.068973325,0.0023455187,0.021474214,0.0074605714,0.027089303,0.03544198
1983,0.24590473,0.0022856693,0.021104163,0.00724547,0.026457876,0.034686107
1984,0.035400692,0.0022804146,0.020965159,0.007360618,0.02751958,0.035443533
1985,0.027342834,0.0022587997,0.020819291,0.0073720375,0.026188867,0.034332912
1986,0.10152575,0.00223822,0.020497387,0.007447139,0.025357647,0.033520482
1987,0.25302136,0.0022090822,0.020145388,0.0078076175,0.025973184,0.033856783
1988,0.26891363,0.002254901,0.02057411,0.007915107,0.026538089,0.03457308
1989,0.18820897,0.0023147317,0.021396061,0.007838939,0.026735207,0.035204682
1990,0.36138567,0.0023329118,0.021423819,0.00767839,0.026073314,0.034687143
1991,0.31899363,0.0023758227,0.021290407,0.007923118,0.027561296,0.035795625
1992,0.15503338,0.0023496961,0.021040082,0.007994117,0.027762026,0.035816785
1993,0.21440645,0.0023966655,0.021792315,0.00816895,0.027650222,0.036220375
1994,0.26943058,0.0023699657,0.021409215,0.008230717,0.028132705,0.036375336
1995,0.3967543,0.002302794,0.019981993,0.008265933,0.026780339,0.034497757
1996,0.24462943,0.0022313565,0.018134898,0.008478178,0.027324377,0.033946346
1997,0.45305416,0.0022414827,0.019567443,0.008348454,0.026963742,0.034418736
1998,0.5991545,0.002349298,0.020726819,0.008200609,0.028785992,0.036482923
1999,0.3545327,0.0023659018,0.02057428,0.008110708,0.027980447,0.035743356
2000,0.33430204,0.0023326476,0.019986996,0.00822957,0.028580556,0.035909545
2001,0.47910002,0.0023402341,0.019705443,0.008365138,0.028080335,0.03538731
2002,0.5414619,0.0023121876,0.018932387,0.008402205,0.02797288,0.03488353
2003,0.55255866,0.0022563755,0.018136453,0.008406449,0.028111314,0.034567855
2004,0.50240844,0.0022092105,0.017314816,0.008614833,0.027359916,0.033577725
2005,0.58379215,0.0021436382,0.016233433,0.0087833265,0.027928984,0.03354541
2006,0.5432735,0.0021165772,0.0145815825,0.008842792,0.028179372,0.033005673
2007,0.5345287,0.0021036866,0.0141012985,0.008961231,0.027005767,0.03182589
2008,0.44229358,0.0020414384,0.013954893,0.009130918,0.027735883,0.032427758
2009,0.56299055,0.0020771152,0.014069644,0.00932718,0.028515475,0.033202376
2010,0.61699545,0.0020184866,0.013283948,0.009098835,0.028694356,0.03296502
2011,0.4897824,0.002084213,0.014042092,0.009184923,0.026991904,0.03185043
2012,0.54772747,0.0022677921,0.016304556,0.0093155205,0.028203018,0.033958364
2013,0.58822024,0.002425096,0.017653435,0.009366098,0.028029803,0.03450969
2014,0.65504646,0.0023208316,0.017390927,0.009348968,0.030166289,0.03612809
2015,0.84454644,0.002191979,0.014675825,0.009280571,0.029202886,0.034045883
2016,0.8750027,0.0021448885,0.014019541,0.009400615,0.02948641,0.03404362
2017,0.7922239,0.0021747258,0.013943257,0.0094544105,0.030426541,0.03484687
2018,0.70571285,0.0022805568,0.014386031,0.009604572,0.030146284,0.03483109
2019,0.8372736,0.0023512482,0.01578312,0.009776286,0.031731155,0.036838528
2020,0.86543244,0.0024084437,0.016202949,0.010048993,0.032221757,0.037517462
2021,0.7442496,0.0025685534,0.017598825,0.010216344,0.03097691,0.037151832
2022,0.77495587,0.002529675,0.017255954,0.010261028,0.030476348,0.036582287
2023,0.95767224,0.0034989233,0.018853148,0.010577124,0.04367089,0.048853923
