Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.36,-.52,-.24,-.31,-.07,-.18,-.20,-.28,-.25,-.33,-.45,-.41,-.30,***,***,-.21,-.22,-.34
1881,-.31,-.24,-.05,-.02,.02,-.34,.07,-.06,-.28,-.45,-.38,-.25,-.19,-.20,-.32,-.02,-.11,-.37
1882,.25,.20,.00,-.33,-.26,-.31,-.29,-.16,-.26,-.54,-.35,-.69,-.23,-.19,.07,-.19,-.25,-.38
1883,-.59,-.68,-.17,-.30,-.26,-.14,-.04,-.23,-.33,-.16,-.43,-.16,-.29,-.33,-.65,-.24,-.14,-.31
1884,-.18,-.11,-.63,-.60,-.37,-.44,-.40,-.51,-.46,-.46,-.59,-.48,-.44,-.41,-.15,-.54,-.45,-.50
1885,-1.01,-.47,-.25,-.50,-.59,-.45,-.35,-.42,-.40,-.38,-.39,-.13,-.45,-.48,-.66,-.45,-.41,-.39
1886,-.76,-.85,-.72,-.38,-.34,-.38,-.14,-.43,-.34,-.32,-.40,-.23,-.44,-.43,-.58,-.48,-.32,-.35
1887,-1.09,-.71,-.45,-.39,-.27,-.22,-.25,-.56,-.22,-.50,-.28,-.44,-.45,-.43,-.68,-.37,-.34,-.33
1888,-.50,-.62,-.65,-.23,-.16,-.03,-.01,-.22,-.20,-.04,-.02,-.24,-.24,-.26,-.52,-.34,-.09,-.09
1889,-.28,.28,-.02,.15,-.04,-.07,-.09,-.21,-.31,-.42,-.63,-.56,-.18,-.16,-.08,.03,-.12,-.45
1890,-.64,-.59,-.48,-.25,-.37,-.16,-.24,-.40,-.36,-.11,-.63,-.48,-.39,-.40,-.60,-.37,-.27,-.37
1891,-.47,-.69,-.17,-.36,-.16,-.13,-.12,-.12,-.08,-.29,-.53,-.04,-.26,-.30,-.55,-.23,-.13,-.30
